week_start,forecast,lower_ci,upper_ci
2018-09-03,11495.404196991902,-6096.0216108586355,29086.83000484244
2018-09-10,19044.248573650977,-1168.2123529263845,39256.70950022834
2018-09-17,27101.60011292594,6019.593863758473,48183.6063620934
2018-09-24,27643.530542564204,6196.476021526247,49090.585063602164
2018-10-01,28258.67942712821,6618.662620140571,49898.69623411585
2018-10-08,28676.77136012697,6912.143817609591,50441.39890264435
2018-10-15,31095.964895695768,9238.82945934889,52953.100332042646
2018-10-22,34328.11416065105,12394.317819583284,56261.91050171881
2018-10-29,29261.103963768775,7259.1226504356055,51263.08527710194
2018-11-05,29945.696270927336,7879.503752802375,52011.8887890523
2018-11-12,33762.446696707295,11633.493148578316,55891.40024483627
2018-11-19,36362.14405883789,14170.481394296872,58553.806723378904
