week_start,forecast,lower_ci,upper_ci
2018-09-03,11240.610269544028,-4018.1226203525075,26499.343159440563
2018-09-10,15129.474814735097,-1643.7448356761543,31902.69446514635
2018-09-17,17052.483848019598,-287.3519635972116,34392.31965963641
2018-09-24,17103.063348108895,-606.427340436243,34812.55403665404
2018-10-01,18095.778087300845,71.62213812708069,36119.93403647461
2018-10-08,18106.998142085962,-213.21391357211178,36427.21019774403
2018-10-15,18027.370319353267,-581.3738673657172,36636.11450607225
2018-10-22,19759.3859826906,865.5434752793008,38653.2284901019
2018-10-29,19161.454513938803,-12.803250614222634,38335.71227849183
2018-11-05,17212.07516178355,-2243.7052902691394,36667.85561383623
2018-11-12,17882.853401966848,-1848.4987321545996,37614.205536088295
2018-11-19,19068.882493943558,-935.0986993445295,39072.86368723164
