week_start,category,weekly_gmv_brl
2017-01-23,watches_gifts,2890.49
2017-01-30,agro_industry_and_commerce,82.85
2017-01-30,audio,44.01
2017-01-30,auto,2468.1099999999997
2017-01-30,baby,1482.4200000000003
2017-01-30,bed_bath_table,3694.76
2017-01-30,books_general_interest,192.87
2017-01-30,computers,2217.99
2017-01-30,computers_accessories,2165.92
2017-01-30,consoles_games,2482.57
2017-01-30,construction_tools_construction,506.03
2017-01-30,cool_stuff,4382.080000000001
2017-01-30,dvds_blu_ray,47.8
2017-01-30,fashion_bags_accessories,928.97
2017-01-30,fashion_male_clothing,174.21
2017-01-30,fashion_underwear_beach,207.75
2017-01-30,fixed_telephony,107.35
2017-01-30,food,167.1
2017-01-30,furniture_decor,8001.79
2017-01-30,furniture_living_room,2456.26
2017-01-30,garden_tools,2300.940000000001
2017-01-30,health_beauty,12650.760000000002
2017-01-30,home_appliances_2,884.99
2017-01-30,home_confort,124.35000000000001
2017-01-30,housewares,391.88
2017-01-30,luggage_accessories,855.6899999999999
2017-01-30,market_place,207.48999999999998
2017-01-30,musical_instruments,1622.44
2017-01-30,office_furniture,4048.860000000001
2017-01-30,perfumery,2260.0299999999993
2017-01-30,pet_shop,772.3699999999999
2017-01-30,small_appliances,1045.03
2017-01-30,sports_leisure,4941.680000000001
2017-01-30,stationery,929.1700000000001
2017-01-30,tablets_printing_image,234.0
2017-01-30,telephony,2735.1000000000004
2017-01-30,toys,2952.47
2017-01-30,unknown,5707.669999999999
2017-01-30,watches_gifts,5288.1900000000005
2017-02-06,agro_industry_and_commerce,153.64
2017-02-06,air_conditioning,124.97
2017-02-06,auto,6192.220000000001
2017-02-06,baby,1176.06
2017-02-06,bed_bath_table,5358.8
2017-02-06,books_general_interest,381.86
2017-02-06,computers_accessories,6320.59
2017-02-06,consoles_games,810.1800000000001
2017-02-06,construction_tools_construction,171.03
2017-02-06,cool_stuff,4019.3
2017-02-06,costruction_tools_garden,624.6800000000001
2017-02-06,dvds_blu_ray,35.7
2017-02-06,electronics,363.12000000000006
2017-02-06,fashio_female_clothing,134.0
2017-02-06,fashion_bags_accessories,1083.33
2017-02-06,fashion_male_clothing,153.89999999999998
2017-02-06,fashion_shoes,45.97
2017-02-06,fashion_underwear_beach,281.4
2017-02-06,fixed_telephony,115.47000000000001
2017-02-06,food,222.14000000000001
2017-02-06,furniture_decor,6120.720000000002
2017-02-06,furniture_living_room,846.96
2017-02-06,garden_tools,2729.7599999999998
2017-02-06,health_beauty,5733.409999999999
2017-02-06,home_appliances,174.28
2017-02-06,home_construction,203.42000000000002
2017-02-06,housewares,9051.410000000003
2017-02-06,luggage_accessories,828.68
2017-02-06,market_place,285.40999999999997
2017-02-06,musical_instruments,329.06
2017-02-06,office_furniture,6097.389999999999
2017-02-06,perfumery,3671.9399999999996
2017-02-06,pet_shop,834.8099999999998
2017-02-06,small_appliances,2553.7400000000002
2017-02-06,sports_leisure,5665.909999999997
2017-02-06,stationery,1351.3200000000002
2017-02-06,tablets_printing_image,224.16
2017-02-06,telephony,3096.4800000000005
2017-02-06,toys,3856.8800000000006
2017-02-06,unknown,2534.9900000000002
2017-02-06,watches_gifts,5251.6
2017-02-13,agro_industry_and_commerce,104.85
2017-02-13,air_conditioning,2824.4900000000007
2017-02-13,audio,105.91
2017-02-13,auto,3696.5100000000007
2017-02-13,baby,839.3800000000001
2017-02-13,bed_bath_table,5846.980000000002
2017-02-13,books_general_interest,166.0
2017-02-13,books_imported,114.9
2017-02-13,books_technical,182.4
2017-02-13,cine_photo,95.24000000000001
2017-02-13,computers_accessories,3419.0
2017-02-13,consoles_games,187.49
2017-02-13,construction_tools_construction,51.510000000000005
2017-02-13,construction_tools_safety,396.86
2017-02-13,cool_stuff,2426.0
2017-02-13,electronics,548.61
2017-02-13,fashio_female_clothing,149.09
2017-02-13,fashion_bags_accessories,512.13
2017-02-13,fashion_male_clothing,306.39
2017-02-13,fashion_shoes,111.4
2017-02-13,fashion_underwear_beach,87.68
2017-02-13,fixed_telephony,287.14000000000004
2017-02-13,food,474.35
2017-02-13,furniture_bedroom,501.88
2017-02-13,furniture_decor,6169.090000000001
2017-02-13,garden_tools,5090.500000000002
2017-02-13,health_beauty,5406.56
2017-02-13,home_appliances,681.1199999999999
2017-02-13,home_confort,245.78
2017-02-13,home_construction,410.1
2017-02-13,housewares,2360.96
2017-02-13,kitchen_dining_laundry_garden_furniture,131.34
2017-02-13,luggage_accessories,220.0
2017-02-13,market_place,704.94
2017-02-13,musical_instruments,175.23000000000002
2017-02-13,office_furniture,3564.9100000000003
2017-02-13,perfumery,1719.09
2017-02-13,pet_shop,1363.52
2017-02-13,small_appliances,1636.17
2017-02-13,sports_leisure,4211.3
2017-02-13,stationery,287.7
2017-02-13,telephony,1573.5000000000002
2017-02-13,toys,2284.54
2017-02-13,unknown,486.45
2017-02-13,watches_gifts,802.74
2017-02-20,agro_industry_and_commerce,36.099999999999994
2017-02-20,air_conditioning,490.25
2017-02-20,audio,36.19
2017-02-20,auto,2934.850000000001
2017-02-20,baby,1102.14
2017-02-20,bed_bath_table,4065.0800000000004
2017-02-20,books_general_interest,336.7
2017-02-20,computers,3602.47
2017-02-20,computers_accessories,2327.54
2017-02-20,consoles_games,1667.6699999999998
2017-02-20,cool_stuff,3084.23
2017-02-20,electronics,386.48
2017-02-20,fashio_female_clothing,236.68
2017-02-20,fashion_bags_accessories,399.75
2017-02-20,fashion_male_clothing,128.52
2017-02-20,fixed_telephony,164.89999999999998
2017-02-20,food,66.61
2017-02-20,furniture_decor,6747.72
2017-02-20,furniture_living_room,1626.8999999999996
2017-02-20,garden_tools,4463.49
2017-02-20,health_beauty,5116.15
2017-02-20,home_construction,151.05
2017-02-20,housewares,1736.5500000000002
2017-02-20,industry_commerce_and_business,134.94
2017-02-20,luggage_accessories,370.68999999999994
2017-02-20,market_place,476.15999999999997
2017-02-20,musical_instruments,274.82
2017-02-20,perfumery,1384.78
2017-02-20,pet_shop,1112.1100000000001
2017-02-20,small_appliances,525.1700000000001
2017-02-20,sports_leisure,4535.450000000001
2017-02-20,stationery,77.83999999999999
2017-02-20,tablets_printing_image,482.36
2017-02-20,telephony,1395.29
2017-02-20,toys,961.2699999999999
2017-02-20,unknown,892.1200000000002
2017-02-20,watches_gifts,1478.24
2017-02-27,air_conditioning,920.28
2017-02-27,art,27.59
2017-02-27,audio,61.739999999999995
2017-02-27,auto,1394.72
2017-02-27,baby,847.31
2017-02-27,bed_bath_table,6323.690000000001
2017-02-27,books_general_interest,579.7699999999999
2017-02-27,computers_accessories,3246.96
2017-02-27,consoles_games,2114.5099999999998
2017-02-27,construction_tools_construction,768.73
2017-02-27,cool_stuff,5673.79
2017-02-27,drinks,187.52
2017-02-27,electronics,611.88
2017-02-27,fashion_bags_accessories,855.49
2017-02-27,fashion_male_clothing,82.19
2017-02-27,fashion_shoes,220.01999999999998
2017-02-27,fashion_sport,54.01
2017-02-27,fixed_telephony,990.8300000000003
2017-02-27,food,177.38
2017-02-27,furniture_decor,8666.170000000007
2017-02-27,furniture_living_room,381.51
2017-02-27,garden_tools,4752.870000000002
2017-02-27,health_beauty,3723.2999999999993
2017-02-27,home_appliances,140.3
2017-02-27,home_appliances_2,32.53
2017-02-27,home_confort,101.14
2017-02-27,housewares,2619.04
2017-02-27,industry_commerce_and_business,282.03
