seller_id,seller_gmv_brl,seller_orders,avg_delivery_days,avg_review_score
b839e41795b7f3ad94cc2014a52f6796,43749.93,33,6.92,4.03
c3867b4666c7d76867627c2f7fb22e21,42197.18,245,15.22,3.84
1835b56ce799e6a4dc4eddc053f04066,42086.16,423,12.77,3.59
dbc22125167c298ef99da25668e1011f,41789.16,406,11.41,4.23
7299e27ed73d2ad986de7f7c77d919fa,41581.08,338,11.32,4.42
7178f9f4dd81dcef02f62acdf8151e01,41478.92,203,15.64,4.03
c70c1b0d8ca86052f45a432a38b73958,40476.28,261,7.67,4.3
53e4c6e0f4312d4d2107a8c9cddf45cd,40036.19,473,12.03,4.04
855668e0971d4dfd7bef1b6a4133b41b,40005.36,312,16.15,3.72
e9bc59e7b60fc3063eb2290deda4cced,39031.56,216,14.57,3.94
87142160b41353c4e5fca2360caf6f92,38314.31,305,10.81,4.36
0241d4d5d36f10f80c644447315af0bd,38251.61,238,10.94,4.31
76d5af76d0271110f9af36c92573f765,37541.56,131,11.49,4.08
9c0e69c7bf2619675bbadf47b43f655a,36602.96,157,15.16,4.02
88460e8ebdecbfecb5f9601833981930,36543.1,248,18.27,3.36
70a12e78e608ac31179aea7f8422044b,36465.44,315,14.7,3.77
2528513dd95219a6013d4d05176e391a,36438.75,161,10.57,3.95
1554a68530182680ad5c8b042c3ab563,35850.79,247,14.08,4.24
7681ef142fd2c19048da7430856b5588,34857.93,59,10.37,4.12
70eea00b476a314817cefde4aad4f89a,34764.17,108,13.33,4.35
5c243662ce92d84573bfaff24c3e3700,34637.66,98,10.81,4.13
001cca7ae9ae17fb1caed9dfb1094831,33934.17,200,13.1,3.9
e59aa562b9f8076dd550fcddf0e73491,33803.97,70,13.71,4.25
1900267e848ceeba8fa32d80c1a5f5a8,33120.59,411,12.8,3.86
9f505651f4a6abe901a56cdc21508025,32391.86,397,8.17,4.28
d1c281d3ae149232351cd8c8cc885f0d,32339.06,215,12.46,3.79
0b90b6df587eb83608a64ea8b390cf07,32207.64,164,14.4,4.0
59b22a78efb79a4797979612b885db36,32082.07,125,12.5,3.97
d23019c84ffae2d5ef2270367b8605fc,31954.84,39,11.28,4.41
a3a38f4affed601eb87a97788c949667,31775.27,254,12.49,4.39
8b321bb669392f5163d04c59e235e066,31692.05,943,12.62,4.0
900ba814c251a692506d7834c1218441,31467.94,88,12.48,4.19
16090f2ca825584b5a147ab24aa30c86,31173.11,402,9.22,4.04
d2374cbcbb3ca4ab1086534108cc3ab7,30817.8,524,14.3,3.68
12b9676b00f60f3b700e83af21824c0e,30342.69,135,15.05,4.52
7e1fb0a3ebfb01ffb3a7dae98bf3238d,30335.93,159,15.6,4.13
897060da8b9a21f655304d50fd935913,29887.47,317,14.86,3.39
c003204e1ab016dfa150abc119207b24,29850.89,197,9.69,4.42
b32be1695eb7ec5f10f72d9610a12527,29831.02,45,12.32,4.09
de23c3b98a88888289c6f5cc1209054a,29081.81,164,10.77,4.28
dc4a0fc896dc34b0d5bfec8438291c80,28795.09,231,13.81,3.78
a416b6a846a11724393025641d4edd5e,28670.52,162,12.6,4.16
710e3548e02bc1d2831dfc4f1b5b14d4,27855.07,136,14.31,3.4
1c68394e931a64f90ea236c5ea590300,27729.16,142,15.75,3.93
1a3df491d1c4f1589fc2b934ada68bf2,27594.12,167,15.04,4.17
f62d7bb4a613ec758a03342d46b580b2,26790.59,32,13.87,4.38
b94cc9f10ddc85e4ba73a6f7974e7101,26368.49,39,10.58,4.3
7ad32824caee82087b3e2e5f33b1bf32,26050.32,151,11.49,3.77
8f2ce03f928b567e3d56181ae20ae952,25550.01,153,14.38,4.06
729f06993dac8e860d4f02d7088ca48a,25479.65,96,10.86,4.29
f45122a9ab94eb4f3f8953578bc0c560,25404.13,187,12.49,3.91
612170e34b97004b3ba37eae81836b4c,25372.08,107,10.9,4.43
8444e55c1f13cd5c179851e5ca5ebd00,24951.27,99,21.29,3.07
2b3e4a2a3ea8e01938cabda2a3e5cc79,24535.1,52,8.7,4.39
744dac408745240a2c2528fb1b6028f3,24385.02,79,11.14,4.55
06e5eefc71ec47ae763c5c6f8db7064f,24381.84,92,10.97,3.9
85d9eb9ddc5d00ca9336a2219c97bb13,24029.58,509,14.74,4.17
05ff92fedb5be47920fea08e501238b9,23808.17,59,12.25,4.21
0dd184061fb0eaa7ca37932c68ab91c5,23766.42,161,11.25,3.95
59fb871bf6f4522a87ba567b42dafecf,23754.76,126,12.08,4.21
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,23695.2,20,11.46,3.65
00ee68308b45bc5e2660cd833c3f81cc,23440.66,135,9.17,4.33
7b0df942f46435babab05d49b744b2c4,23272.78,32,11.09,4.39
004c9cd9d87a3c30c522c48c4fc07416,23263.94,158,14.43,4.14
f457c46070d02cadd8a68551231220dd,22807.22,199,14.45,3.77
bfd27a966d91cfaafdb25d076585f0da,22645.05,117,12.37,4.28
48162d548f5b1b11b9d29d1e01f75a61,22592.17,68,11.22,3.76
dc317f341ab0e22f39acbd9dbf9b4a1f,22570.13,55,12.16,4.12
44073f8b7e41514de3b7815dd0237f4f,21901.93,144,13.17,3.76
128639473a139ac0f3e5f5ade55873a5,21694.45,533,14.41,4.18
0c8380b62e38e8a1e6adbeba7eb9688c,21455.83,182,12.58,4.03
41b39e28db005d9731d9d485a83b4c38,21042.91,195,12.49,4.14
cd68562d3f44870c08922d380acae552,20777.19,125,16.78,3.84
821fb029fc6e495ca4f08a35d51e53a5,20740.25,28,16.36,3.43
54a1852d1b8f10312c55e906355666ee,20614.4,200,11.52,4.34
7aa4334be125fcdd2ba64b3180029f14,20603.33,217,15.98,4.05
86ccac0b835037332a596a33b6949ee1,20588.6,180,11.86,4.0
fa40cc5b934574b62717c68f3d678b6d,20586.77,307,11.2,4.44
76d64c4aca3a7baf218bf93ef7fa768d,20455.29,64,10.72,4.12
