customer_state,customer_city,category,orders,gmv_brl
RJ,rio de janeiro,consoles_games,72,11302.94
SP,campinas,furniture_decor,95,11271.73
SP,sao paulo,agro_industry_and_commerce,39,11225.55
PR,curitiba,toys,79,10827.33
SP,sao bernardo do campo,health_beauty,92,10681.27
DF,brasilia,garden_tools,45,10668.42
SP,sao paulo,kitchen_dining_laundry_garden_furniture,49,10600.44
RS,porto alegre,garden_tools,57,10584.09
SP,sao bernardo do campo,watches_gifts,56,10579.64
SP,guarulhos,computers_accessories,81,10480.9
SP,guarulhos,housewares,78,10332.37
SP,santo andre,bed_bath_table,75,10302.94
SP,sao paulo,small_appliances_home_oven_and_coffee,20,10231.72
DF,brasilia,baby,66,10210.6
RJ,niteroi,health_beauty,60,9969.84
SP,sao paulo,furniture_living_room,67,9904.46
SP,guarulhos,auto,47,9892.57
SC,florianopolis,housewares,47,9761.64
GO,goiania,bed_bath_table,71,9700.47
RJ,rio de janeiro,luggage_accessories,60,9670.67
SP,osasco,health_beauty,72,9646.06
PR,curitiba,cool_stuff,58,9608.39
MG,belo horizonte,pet_shop,59,9596.25
RJ,rio de janeiro,fashion_bags_accessories,89,9592.22
SP,campinas,housewares,84,9585.95
RJ,niteroi,sports_leisure,70,9565.88
MA,sao luis,computers_accessories,35,9563.3
PR,curitiba,auto,48,9547.21
RJ,niteroi,bed_bath_table,86,9522.32
SP,campinas,auto,44,9490.48
SP,santos,watches_gifts,32,9489.64
SP,santos,furniture_decor,63,9486.67
SP,sao paulo,home_construction,59,9436.3
SP,guarulhos,furniture_decor,77,9435.03
MS,campo grande,housewares,17,9405.18
RJ,rio de janeiro,computers,10,9167.57
AL,maceio,watches_gifts,27,9117.69
GO,goiania,housewares,46,9102.19
RS,porto alegre,telephony,56,9098.2
SP,guarulhos,sports_leisure,83,9045.89
BA,salvador,housewares,65,9033.87
SP,sao paulo,audio,64,8949.92
SP,osasco,bed_bath_table,76,8864.1
SP,sao bernardo do campo,bed_bath_table,79,8707.04
RJ,nova iguacu,watches_gifts,30,8694.82
RS,porto alegre,baby,47,8690.25
SC,florianopolis,computers_accessories,59,8668.15
MG,belo horizonte,telephony,90,8578.91
SP,santo andre,health_beauty,78,8525.08
RJ,sao goncalo,watches_gifts,39,8514.73
SP,sao paulo,books_general_interest,70,8510.36
SP,ribeirao preto,bed_bath_table,64,8508.6
SP,campinas,cool_stuff,44,8482.69
SP,sao bernardo do campo,furniture_decor,74,8433.58
MG,juiz de fora,health_beauty,42,8424.53
SP,santos,health_beauty,63,8399.71
PB,joao pessoa,health_beauty,35,8389.02
MG,juiz de fora,cool_stuff,22,8388.91
PR,curitiba,baby,43,8376.0
PE,recife,sports_leisure,52,8374.58
SP,sao jose dos campos,sports_leisure,43,8371.9
SP,sao bernardo do campo,sports_leisure,68,8342.64
SP,sorocaba,sports_leisure,52,8320.59
SP,osasco,furniture_decor,50,8289.97
RJ,rio de janeiro,home_appliances,52,8215.08
PA,belem,watches_gifts,37,8194.16
BA,salvador,telephony,74,8168.75
SP,sao bernardo do campo,housewares,68,8164.79
MA,sao luis,health_beauty,42,8144.39
SP,santo andre,watches_gifts,50,8116.91
SC,florianopolis,health_beauty,53,8074.38
PI,teresina,auto,16,7904.43
PA,belem,unknown,15,7868.16
SP,sao jose dos campos,auto,40,7834.64
RJ,niteroi,furniture_decor,53,7807.98
SP,sao paulo,fixed_telephony,36,7791.24
SC,florianopolis,watches_gifts,27,7789.21
SP,osasco,sports_leisure,58,7768.29
PE,recife,computers_accessories,47,7729.46
PB,joao pessoa,watches_gifts,21,7724.74
DF,brasilia,telephony,85,7718.73
SP,campinas,toys,68,7699.74
SP,sao jose dos campos,health_beauty,66,7677.32
SP,sorocaba,health_beauty,48,7675.9
SP,sao paulo,construction_tools_safety,22,7488.66
MG,belo horizonte,office_furniture,33,7488.48
MG,juiz de fora,watches_gifts,37,7466.09
PA,belem,computers_accessories,45,7438.88
BA,salvador,garden_tools,54,7436.28
MG,belo horizonte,musical_instruments,16,7421.54
SP,sao paulo,air_conditioning,34,7417.74
SP,sao paulo,food,103,7387.94
